url_length,hostname_length,path_length,query_length,has_https,has_ip_address,subdomain_count,dot_count,hyphen_count,slash_count,question_mark_count,equals_count,at_symbol_count,ampersand_count,percent_count,digit_count,letter_count,special_character_count,suspicious_keyword_count,has_at_symbol,has_double_slash,has_port,url_entropy
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.748328660365574
26,18,0,0,1,0,2,3,0,2,0,0,0,0,0,0,20,6,0,0,0,0,3.8441065448145375
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.893660689688185
33,25,0,0,1,0,1,2,0,2,0,0,0,0,0,0,28,5,1,0,0,0,4.12728313431329
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.553508854797678
49,40,1,0,1,0,2,3,2,3,0,0,0,0,0,11,29,9,0,0,0,0,4.736759843938598
29,21,0,0,1,0,1,2,1,2,0,0,0,0,0,0,23,6,0,0,0,0,3.9783335811852645
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.813660689688185
36,28,0,0,1,0,1,2,2,2,0,0,0,0,0,0,29,7,0,0,0,0,4.127986806877675
45,36,1,0,1,0,1,2,0,3,0,0,0,0,0,3,36,6,0,0,0,0,4.4556488633721045
25,17,0,0,1,0,2,3,0,2,0,0,0,0,0,0,19,6,0,0,0,0,3.9434651896016457
86,13,65,0,1,0,1,2,0,4,0,0,0,0,0,12,67,7,0,0,0,0,4.6804628304298
21,14,0,0,0,0,2,3,0,2,0,0,0,0,0,0,15,6,0,0,0,0,3.5585186130489057
74,30,36,0,1,0,1,3,2,7,0,0,0,0,0,6,55,13,0,0,0,0,4.322091839645868
32,24,0,0,1,0,2,3,0,2,0,0,0,0,0,0,26,6,0,0,0,0,4.202819531114783
32,23,1,0,1,0,2,3,0,3,0,0,0,0,0,0,25,7,0,0,0,0,3.819548827786958
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.673269689515108
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.6841837197791887
19,11,0,0,1,0,1,2,0,2,0,0,0,0,0,0,14,5,0,0,0,0,3.326360407952694
35,28,0,0,0,0,2,3,0,2,0,0,0,0,0,0,29,6,0,0,0,0,4.071581588126283
21,13,0,0,1,0,1,2,0,2,0,0,0,0,0,0,16,5,0,0,0,0,3.594465636961452
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,4.103909910282363
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.879664004902593
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.7950885863977324
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.6732696895151076
30,21,1,0,1,0,1,2,0,3,0,0,0,0,0,0,24,6,0,0,0,0,3.9232314287976204
86,23,55,0,1,0,1,3,6,4,0,0,0,0,0,24,48,14,0,0,0,0,4.731058871223468
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.9021748142117274
62,25,30,0,0,0,2,3,0,5,0,0,0,0,2,4,47,11,0,0,0,0,4.25617796587327
38,29,1,0,1,0,1,2,3,3,0,0,0,0,0,10,19,9,0,0,0,0,4.260828171224455
24,15,1,0,1,0,1,2,0,3,0,0,0,0,0,0,18,6,0,0,0,0,3.938721875540868
70,49,13,0,1,0,1,3,3,4,0,0,0,0,0,10,49,11,0,0,0,0,4.564400161711624
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.629219686524096
68,27,33,0,1,0,1,3,0,5,0,0,0,0,0,8,51,9,1,0,0,0,4.444100988870127
48,21,15,3,1,0,1,3,0,4,1,0,0,0,0,0,39,9,0,0,0,0,4.313721875540868
33,25,0,0,1,0,2,3,0,2,0,0,0,0,0,0,27,6,0,0,0,0,4.0060710131011685
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.788754913993502
27,19,0,0,1,0,1,2,0,2,0,0,0,0,0,0,22,5,0,0,0,0,4.004344446367528
20,13,0,0,0,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.6841837197791887
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.6978458230844122
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.4642346527265664
30,22,0,0,1,0,1,2,0,2,0,0,0,0,0,0,25,5,0,0,0,0,3.8729055953200557
83,74,1,0,1,0,2,3,0,3,0,0,0,0,0,8,68,7,0,0,0,0,4.737528551850117
27,19,0,0,1,0,1,2,1,2,0,0,0,0,0,0,21,6,0,0,0,0,3.958229168669879
33,25,0,0,1,0,1,2,0,2,0,0,0,0,0,0,28,5,0,0,0,0,3.9683403313485464
34,25,1,0,1,0,1,2,0,3,0,0,0,0,0,0,28,6,0,0,0,0,4.013070929103845
29,22,0,0,0,0,2,3,1,2,0,0,0,0,0,0,22,7,0,0,0,0,3.9002417706166295
28,20,0,0,1,0,1,2,0,2,0,0,0,0,0,0,23,5,0,0,0,0,3.7264741182543752
36,27,1,0,1,0,1,2,1,3,0,0,0,0,0,6,23,7,0,0,0,0,4.363826390090815
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8731406795131322
67,7,52,0,1,0,0,1,0,4,0,0,0,0,0,8,53,6,0,0,0,0,4.7436509974110885
31,23,0,0,1,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,3.9134007456613777
34,26,0,0,1,0,1,2,0,2,0,0,0,0,0,0,29,5,0,0,0,0,4.043057694064253
51,21,22,0,1,0,1,2,2,3,0,0,0,0,0,5,33,13,0,0,0,0,4.243134106881671
21,14,0,0,0,0,1,2,0,2,0,0,0,0,0,6,10,5,0,0,0,0,3.784941827437642
31,24,0,0,0,0,1,2,0,2,0,0,0,0,0,0,26,5,1,0,0,0,4.1313003425053605
28,19,1,0,1,0,1,2,0,3,0,0,0,0,0,0,22,6,0,0,0,0,3.9852281360342516
27,19,0,0,1,0,2,3,0,2,0,0,0,0,0,0,21,6,0,0,0,0,3.884155094595805
28,20,0,0,1,0,1,2,0,2,0,0,0,0,0,0,23,5,0,0,0,0,3.9407598325400888
29,22,0,0,0,0,1,2,0,2,0,0,0,0,0,0,24,5,0,0,0,0,3.978333581185264
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.6714055834424966
29,21,0,0,1,0,1,2,0,2,0,0,0,0,0,0,24,5,0,0,0,0,3.633505994978367
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.9736606896881845
34,26,0,0,1,0,1,2,0,2,0,0,0,0,0,0,29,5,0,0,0,0,4.256149238118269
30,22,0,0,1,0,1,2,0,2,0,0,0,0,0,0,25,5,0,0,0,0,3.8532359131272917
34,26,0,0,1,0,2,3,0,2,0,0,0,0,0,0,28,6,0,0,0,0,4.152920561520418
116,37,17,53,1,0,2,4,2,4,2,2,0,0,0,13,88,15,1,0,0,0,4.885926367088355
19,12,0,0,0,0,1,2,0,2,0,0,0,0,0,2,12,5,0,0,0,0,3.5766176449086653
24,16,0,0,1,0,2,3,0,2,0,0,0,0,0,0,18,6,0,0,0,0,3.772055208874201
28,20,0,0,1,0,1,2,0,2,0,0,0,0,0,0,23,5,0,0,0,0,3.9232517969803373
33,26,0,0,0,0,2,3,0,2,0,0,0,0,0,0,27,6,0,0,0,0,3.7556266947226717
28,20,0,0,1,0,1,2,0,2,0,0,0,0,0,0,23,5,0,0,0,0,3.780394654123195
24,15,1,0,1,0,0,1,0,3,0,0,0,0,0,2,17,5,0,0,0,0,3.9701755214643453
55,27,20,0,1,0,1,2,0,4,0,0,0,0,0,0,48,7,1,0,0,0,4.415552159365317
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8731406795131322
24,16,0,0,1,0,2,3,0,2,0,0,0,0,0,0,18,6,0,0,0,0,3.9072682296173897
35,27,1,0,0,0,1,2,1,3,0,0,0,0,0,0,28,7,0,0,0,0,4.1474393604706705
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.902174814211727
40,28,4,0,1,0,1,2,2,3,0,0,0,0,0,0,32,8,1,0,0,0,4.277567157116929
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.882045108136863
32,24,0,0,1,0,1,2,0,2,0,0,0,0,0,0,27,5,0,0,0,0,4.101409765557392
54,16,30,0,1,0,1,3,0,6,0,0,0,0,0,0,44,10,0,0,0,0,4.131762678242273
33,25,0,0,1,0,3,4,0,2,0,0,0,0,0,0,26,7,0,0,0,0,4.051821770808045
25,17,0,0,1,0,2,3,0,2,0,0,0,0,0,0,19,6,0,0,0,0,3.7532696895151076
22,15,0,0,0,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.5160276412662297
25,16,1,0,1,0,1,2,1,3,0,0,0,0,0,2,16,7,0,0,0,0,3.7230741894285684
29,6,16,0,0,0,0,1,0,3,0,0,0,0,0,0,24,5,0,0,0,0,3.83127625337525
36,27,1,0,1,0,2,3,0,3,0,0,0,0,0,4,25,7,0,0,0,0,3.932999306637289
34,26,0,0,1,0,1,2,0,2,0,0,0,0,0,0,29,5,0,0,0,0,3.7411558556380644
23,15,0,0,1,0,2,3,0,2,0,0,0,0,0,0,17,6,0,0,0,0,3.849223912390625
21,14,0,0,0,0,1,2,0,2,0,0,0,0,0,6,10,5,0,0,0,0,3.784941827437642
42,33,1,0,1,0,1,2,3,3,0,0,0,0,0,3,30,9,0,0,0,0,4.159592720140252
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.882045108136863
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.6841837197791887
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.753269689515108
44,36,0,0,1,0,1,2,2,2,0,0,0,0,0,0,37,7,0,0,0,0,4.180689288944332
32,24,0,0,1,0,2,3,0,2,0,0,0,0,0,0,26,6,0,0,0,0,3.890319531114783
33,25,0,0,1,0,2,3,0,2,0,0,0,0,0,0,27,6,0,0,0,0,4.12728313431329
19,4,8,0,0,0,0,1,0,3,0,0,0,0,0,0,14,5,0,0,0,0,3.5368867237421666
27,19,0,0,1,0,1,2,0,2,0,0,0,0,0,0,22,5,0,0,0,0,3.9861879650463043
73,23,43,0,0,0,1,6,0,6,0,0,0,0,0,10,50,13,0,0,0,0,4.651416853074563
35,27,0,0,1,0,1,2,0,2,0,0,0,0,0,0,30,5,0,0,0,0,3.9713023022883713
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.572623663895164
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8441065448145375
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.7834651896016465
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.5892750707107126
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8731406795131327
27,19,0,0,1,0,1,2,0,2,0,0,0,0,0,0,22,5,0,0,0,0,4.032303242743954
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.636842188131012
28,11,9,0,1,0,0,1,0,3,0,0,0,0,0,3,20,5,0,0,0,0,4.324862957617357
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8441065448145375
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,1,16,5,0,0,0,0,3.7544418457133446
36,27,1,0,1,0,1,2,0,3,0,0,0,0,0,2,28,6,0,0,0,0,4.2390979179887855
27,19,0,0,1,0,1,2,0,2,0,0,0,0,0,0,22,5,0,0,0,0,3.6060152796207325
36,27,1,0,1,0,1,2,3,3,0,0,0,0,0,8,19,9,0,0,0,0,4.2390979179887855
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.6841837197791887
21,13,0,0,1,0,1,2,0,2,0,0,0,0,0,0,16,5,0,0,0,0,3.463280517810811
48,20,21,0,0,0,1,2,2,3,0,0,0,0,0,2,38,8,1,0,0,0,4.579448698502607
35,27,0,0,1,0,2,3,0,2,0,0,0,0,0,0,29,6,0,0,0,0,4.207435516759525
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.7336606896881848
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.863465189601646
34,26,0,0,1,0,1,2,0,2,0,0,0,0,0,0,29,5,0,0,0,0,4.079678649882975
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.8252517372886503
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.9500637564362093
37,10,19,0,1,0,0,1,1,5,0,0,0,0,0,0,29,8,0,0,0,0,3.874748555216676
31,23,0,0,1,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,4.0667842134731025
108,15,85,0,1,0,1,3,0,5,0,0,0,0,0,10,89,9,0,0,0,0,4.8788076188072385
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.9701755214643453
34,26,0,0,1,0,1,2,0,2,0,0,0,0,0,0,29,5,0,0,0,0,3.9735127535760095
31,23,0,0,1,0,1,2,1,2,0,0,0,0,0,0,25,6,0,0,0,0,4.1313003425053605
19,11,0,0,1,0,1,2,0,2,0,0,0,0,0,0,14,5,0,0,0,0,3.6818808028034016
29,22,0,0,0,0,1,2,0,2,0,0,0,0,0,0,24,5,0,0,0,0,4.306256857196537
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.546439344671015
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.7201755214643453
31,23,0,0,1,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,4.106949132758152
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.733660689688185
30,22,0,0,1,0,2,3,1,2,0,0,0,0,0,0,23,7,0,0,0,0,3.8477426785812736
41,24,10,0,0,0,1,2,0,5,0,0,0,0,0,0,33,8,0,0,0,0,3.957940346441154
23,15,0,0,1,0,2,3,0,2,0,0,0,0,0,0,17,6,0,0,0,0,3.435755433941627
63,52,4,0,0,0,3,4,2,4,0,0,0,0,0,0,52,11,0,0,0,0,4.241024717384771
31,24,0,0,0,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,3.953565664946427
45,36,1,0,1,0,1,2,0,3,0,0,0,0,0,3,36,6,0,0,0,0,4.4556488633721045
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.4841837197791885
49,41,1,0,0,0,3,4,2,3,0,0,0,0,0,5,34,10,0,0,0,0,4.361973558701859
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.9790978911348045
24,16,0,0,1,0,2,3,0,2,0,0,0,0,0,0,18,6,0,0,0,0,3.9387218755408675
42,29,6,0,0,0,1,3,0,3,0,0,0,0,0,0,35,7,0,0,0,0,4.094000160564931
75,50,17,0,1,0,3,5,4,3,0,0,0,0,0,10,52,13,0,0,0,0,4.614581992084709
19,12,0,0,0,0,1,2,0,2,0,0,0,0,0,3,11,5,0,0,0,0,3.5766176449086653
31,24,0,0,0,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,4.026619294188053
25,17,0,0,1,0,2,3,0,2,0,0,0,0,0,0,19,6,0,0,0,0,3.9434651896016457
32,24,0,0,1,0,3,4,0,2,0,0,0,0,0,0,25,7,1,0,0,0,3.9917292966721747
84,13,1,61,1,0,1,2,2,3,1,1,0,0,0,3,70,11,0,0,0,0,4.805135130725761
26,18,0,0,1,0,2,3,0,2,0,0,0,0,0,0,20,6,0,0,0,0,3.5843031793467124
