url_length,hostname_length,path_length,query_length,has_https,has_ip_address,subdomain_count,dot_count,hyphen_count,slash_count,question_mark_count,equals_count,at_symbol_count,ampersand_count,percent_count,digit_count,letter_count,special_character_count,suspicious_keyword_count,has_at_symbol,has_double_slash,has_port,url_entropy
25,17,0,0,1,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.9736606896881845
23,15,0,0,1,0,2,3,0,2,0,0,0,0,0,0,17,6,0,0,0,0,3.501397825434103
26,19,0,0,0,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.921029621737614
40,32,0,0,1,0,2,3,0,2,0,0,0,0,0,0,34,6,0,0,0,0,3.970950594454668
31,23,0,0,1,0,1,2,1,2,0,0,0,0,0,0,25,6,0,0,0,0,4.042433003725894
34,26,1,0,0,0,1,2,0,3,0,0,0,0,0,10,18,6,0,0,0,0,4.124083797069061
25,18,0,0,0,0,1,2,0,2,0,0,0,0,0,0,20,5,0,0,0,0,3.813660689688185
29,21,0,0,1,0,1,2,0,2,0,0,0,0,0,0,24,5,1,0,0,0,3.9952378913808873
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.6572682296173897
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.5464393446710147
20,12,0,0,1,0,1,2,0,2,0,0,0,0,0,0,15,5,0,0,0,0,3.446439344671015
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.8553885422075345
40,32,0,0,1,0,1,2,0,2,0,0,0,0,0,0,35,5,0,0,0,0,4.265311532225102
62,39,15,0,1,0,1,3,2,3,0,0,0,0,0,2,51,9,0,0,0,0,4.3022666261141085
85,76,1,0,1,0,2,3,1,3,0,0,0,0,0,9,68,8,0,0,0,0,4.801800313618946
29,21,0,0,1,0,2,3,0,2,0,0,0,0,0,0,23,6,0,0,0,0,3.995237891380887
28,20,0,0,1,0,1,2,0,2,0,0,0,0,0,0,23,5,0,0,0,0,3.824862957617356
78,13,57,0,1,0,1,2,0,6,0,0,0,0,0,6,63,9,0,0,0,0,4.815295930395602
46,37,1,0,1,0,2,3,2,3,0,0,0,0,0,1,36,9,0,0,0,0,4.354552444952287
29,21,0,0,1,0,1,2,0,2,0,0,0,0,0,0,24,5,0,0,0,0,3.926272374139508
21,14,0,0,0,0,1,2,0,2,0,0,0,0,0,2,14,5,0,0,0,0,3.4273334938982645
63,28,28,0,0,0,1,3,2,3,0,0,0,0,0,0,54,9,0,0,0,0,4.255002249467886
28,20,0,0,1,0,1,2,1,2,0,0,0,0,0,0,22,6,0,0,0,0,4.137537511266052
37,28,1,0,1,0,1,2,0,3,0,0,0,0,0,3,28,6,0,0,0,0,4.303783770917412
23,16,0,0,0,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.914866303883101
34,25,1,0,1,0,1,2,1,3,0,0,0,0,0,6,21,7,0,0,0,0,4.373796296941798
30,22,0,0,1,0,1,2,0,2,0,0,0,0,0,0,25,5,0,0,0,0,3.764735178725505
32,24,1,0,0,0,1,2,0,3,0,0,0,0,0,11,15,6,0,0,0,0,4.093139062229566
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.825251737288651
24,16,0,0,1,0,1,2,0,2,0,0,0,0,0,0,19,5,0,0,0,0,3.6531071683628116
29,20,1,0,1,0,1,2,0,3,0,0,0,0,0,0,23,6,0,0,0,0,3.909368063943885
27,19,0,0,1,0,2,3,0,2,0,0,0,0,0,0,21,6,0,0,0,0,3.736006946447657
25,17,0,0,1,0,2,3,0,2,0,0,0,0,0,0,19,6,0,0,0,0,3.723074189428569
32,24,0,0,1,0,1,2,1,2,0,0,0,0,0,0,26,6,0,0,0,0,3.8431390622295662
27,19,0,0,1,0,1,2,0,2,0,0,0,0,0,0,22,5,0,0,0,0,3.7784235030301256
31,23,0,0,1,0,1,2,0,2,0,0,0,0,0,0,26,5,0,0,0,0,3.953565664946427
42,34,0,0,1,0,1,2,0,2,0,0,0,0,0,0,37,5,0,0,0,0,4.08924466198827
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.849223912390625
26,18,0,0,1,0,1,2,0,2,0,0,0,0,0,0,21,5,0,0,0,0,3.9790978911348045
23,15,0,0,1,0,1,2,0,2,0,0,0,0,0,0,18,5,0,0,0,0,3.708132064658602
22,14,0,0,1,0,1,2,0,2,0,0,0,0,0,0,17,5,0,0,0,0,3.3519530742463752
28,20,0,0,1,0,2,3,0,2,0,0,0,0,0,0,22,6,0,0,0,0,4.012188403968661
27,19,0,0,1,0,1,2,1,2,0,0,0,0,0,0,21,6,0,0,0,0,3.958229168669879
35,27,1,0,0,0,2,3,0,3,0,0,0,0,0,7,21,7,0,0,0,0,4.16429908806447
38,29,1,0,1,0,1,2,0,3,0,0,0,0,0,0,32,6,0,0,0,0,4.095968631579971
32,24,0,0,1,0,1,2,2,2,0,0,0,0,0,0,25,7,0,0,0,0,4.163909765557392
21,13,0,0,1,0,1,2,0,2,0,0,0,0,0,2,14,5,0,0,0,0,3.880179922675737
